,stem_diam_bottom_in_cm,total_meja,meja_per_100_cm,diam_top_in_cm,side_branches_in_cm,main_stem_length_in_cm
270,0.42,9,21.4,0.2,45.5,42.0
936,0.48,14,37.8,0.15,45.5,37.0
764,0.42,1,1.9,0.15,45.5,53.0
630,0.61,0,0.0,0.15,55.0,51.0
826,0.55,10,19.2,0.15,45.5,52.0
746,0.64,0,0.0,0.15,45.5,60.0
940,0.31,8,30.8,0.15,45.5,26.0
342,0.36,0,0.0,0.15,45.5,19.0
943,0.77,1,1.0,0.15,45.5,96.0
315,0.26,0,0.0,0.15,45.5,15.5
876,0.62,26,63.4,0.15,45.5,41.0
409,0.28,0,0.0,0.15,45.5,16.5
424,0.88,0,0.0,0.15,49.0,70.0
969,0.55,5,6.0,0.15,45.5,84.0
190,0.39,0,0.0,0.11,45.5,65.0
627,0.26,0,0.0,0.15,45.5,39.0
549,0.31,0,0.0,0.15,45.5,23.0
863,0.74,18,26.9,0.15,45.5,67.0
145,0.31,7,21.9,0.08,45.5,32.0
272,0.31,17,40.5,0.1,45.5,42.0
496,0.4,0,0.0,0.15,45.5,31.0
380,0.31,0,0.0,0.15,45.5,16.5
693,0.56,0,0.0,0.15,45.5,40.0
452,0.57,0,0.0,0.15,45.5,44.0
769,0.52,7,10.4,0.15,45.5,67.0
641,0.67,0,0.0,0.15,127.0,27.0
590,0.55,0,0.0,0.15,45.5,46.0
632,0.53,0,0.0,0.15,22.0,35.0
144,0.42,5,13.2,0.04,45.5,38.0
832,0.7,39,54.2,0.15,45.5,72.0
790,0.62,0,0.0,0.15,45.5,79.0
471,0.63,0,0.0,0.15,45.5,35.0
366,0.23,0,0.0,0.15,45.5,8.0
687,0.33,0,0.0,0.15,45.5,33.0
215,0.36,13,48.1,0.19,45.5,27.0
364,0.19,0,0.0,0.15,45.5,10.5
294,0.33,12,40.0,0.12,45.5,30.0
776,0.65,7,12.1,0.15,45.5,58.0
358,0.16,0,0.0,0.15,45.5,12.0
878,0.61,17,26.2,0.15,45.5,65.0
230,0.39,14,44.4,0.26,45.5,31.5
715,0.67,0,0.0,0.15,45.5,78.0
834,0.7,12,16.0,0.15,45.5,75.0
406,0.18,0,0.0,0.15,45.5,9.0
154,0.28,3,4.5,0.02,45.5,67.0
408,0.21,0,0.0,0.15,45.5,9.0
736,0.52,0,0.0,0.15,45.5,77.0
150,0.66,0,0.0,0.06,45.5,107.0
511,0.7,0,0.0,0.15,45.5,49.0
900,0.48,11,25.6,0.15,45.5,43.0
362,0.26,0,0.0,0.15,45.5,22.0
962,0.62,3,3.1,0.15,45.5,97.0
113,0.47,9,14.8,0.07,45.5,61.0
666,0.57,0,0.0,0.15,45.5,105.0
37,0.47,14,36.8,0.21,45.5,38.0
977,0.94,15,17.2,0.15,45.5,87.0
158,0.35,0,0.0,0.09,45.5,64.0
40,0.32,11,26.8,0.16,45.5,41.0
384,0.19,0,0.0,0.15,45.5,13.0
351,0.16,0,0.0,0.15,45.5,12.5
299,0.42,11,48.9,0.3,45.5,22.5
825,0.62,4,7.0,0.15,45.5,57.0
583,0.77,0,0.0,0.15,44.0,58.0
236,0.51,36,72.0,0.09,45.5,50.0
474,0.45,0,0.0,0.15,45.5,28.0
505,0.34,0,0.0,0.15,45.5,30.0
656,0.4,0,0.0,0.15,45.5,37.0
465,0.58,0,0.0,0.15,37.0,34.0
495,0.3,0,0.0,0.15,45.5,38.0
935,0.55,25,55.6,0.15,45.5,45.0
1005,0.91,2,1.7,0.15,45.5,121.0
679,0.39,0,0.0,0.15,45.5,84.0
62,0.36,0,0.0,0.02,45.5,72.0
79,0.44,0,0.0,0.05,45.5,90.0
193,0.33,0,0.0,0.09,45.5,51.0
568,0.44,0,0.0,0.15,45.5,32.0
181,0.52,1,2.0,0.12,45.5,51.0
548,0.48,0,0.0,0.15,45.5,62.0
801,0.85,0,0.0,0.15,45.5,94.0
9,0.39,1,2.0,0.11,45.5,50.0
451,0.63,0,0.0,0.15,45.5,61.0
535,0.39,0,0.0,0.15,45.5,31.0
752,0.56,6,9.1,0.15,45.5,66.0
356,0.26,0,0.0,0.15,45.5,13.5
262,0.44,23,45.1,0.18,45.5,51.0
6,0.68,15,34.9,0.18,45.5,43.0
266,0.4,22,53.7,0.21,45.5,41.0
1008,0.66,17,23.0,0.15,45.5,74.0
38,0.46,9,29.0,0.12,45.5,31.0
1030,0.49,8,21.1,0.38,45.5,38.0
786,0.47,0,0.0,0.15,45.5,79.0
312,0.25,0,0.0,0.15,45.5,16.5
271,0.56,13,28.3,0.26,45.5,46.0
140,0.34,1,1.8,0.03,45.5,56.0
482,0.45,0,0.0,0.15,45.5,38.0
194,0.72,1,2.0,0.21,45.5,51.0
682,0.47,0,0.0,0.15,45.5,65.0
644,0.55,0,0.0,0.15,45.5,64.0
995,0.51,2,2.6,0.15,45.5,78.0
484,0.58,0,0.0,0.15,45.5,84.0
862,0.75,14,23.0,0.15,45.5,61.0
453,0.37,0,0.0,0.15,45.5,60.0
50,0.48,0,0.0,0.05,45.5,85.0
162,0.34,3,4.5,0.11,45.5,67.0
724,0.57,0,0.0,0.15,45.5,89.0
674,0.77,0,0.0,0.15,45.5,79.0
1006,0.38,20,45.5,0.12,45.5,44.0
742,0.37,3,5.6,0.15,45.5,54.0
310,0.17,0,0.0,0.15,45.5,14.5
435,0.73,0,0.0,0.15,45.5,58.0
483,0.6,0,0.0,0.15,45.5,77.0
172,0.62,0,0.0,0.09,45.5,58.0
891,0.56,10,16.4,0.15,45.5,61.0
382,0.16,0,0.0,0.15,45.5,8.5
885,0.44,7,25.9,0.15,45.5,27.0
478,0.35,0,0.0,0.15,45.5,17.0
1022,0.43,0,0.0,0.15,45.5,39.0
830,0.52,3,4.9,0.15,45.5,61.0
39,0.53,27,71.1,0.21,45.5,38.0
609,0.47,0,0.0,0.15,45.5,61.0
1020,0.94,9,11.7,0.3,45.5,77.0
156,0.41,4,6.3,0.04,45.5,64.0
222,0.6,29,80.6,0.36,45.5,36.0
698,0.48,4,6.5,0.15,20.0,62.0
210,0.48,7,22.6,0.2,45.5,31.0
306,0.23,0,0.0,0.15,45.5,24.0
809,0.78,7,9.3,0.15,45.5,75.0
1042,0.58,1,1.6,0.35,45.5,62.0
758,0.49,0,0.0,0.15,45.5,54.0
167,0.42,0,0.0,0.15,45.5,74.0
720,0.69,0,0.0,0.15,45.5,86.0
622,0.47,0,0.0,0.15,45.5,34.0
399,0.18,0,0.0,0.15,45.5,12.0
10,0.5,23,47.9,0.27,45.5,48.0
105,0.47,0,0.0,0.09,45.5,88.0
68,0.72,0,0.0,0.16,45.5,58.0
90,0.48,0,0.0,0.09,45.5,83.0
467,0.49,0,0.0,0.15,13.0,49.0
427,0.53,0,0.0,0.15,45.5,57.0
506,0.48,0,0.0,0.15,45.5,49.0
258,0.48,5,10.0,0.12,45.5,50.0
614,0.4,0,0.0,0.15,66.0,24.0
650,0.3,0,0.0,0.15,45.5,36.0
304,0.19,0,0.0,0.15,45.5,19.0
1027,0.51,18,37.5,0.22,45.5,48.0
564,0.66,0,0.0,0.15,45.5,52.0
1026,0.35,0,0.0,0.25,45.5,41.0
1012,0.68,0,0.0,0.15,45.5,82.0
208,0.35,13,32.1,0.18,45.5,40.5
20,0.5,21,63.6,0.16,45.5,33.0
494,1.08,0,0.0,0.15,45.5,10.0
989,0.68,2,2.1,0.15,45.5,97.0
629,0.52,0,0.0,0.15,45.5,50.0
836,0.55,22,36.7,0.15,45.5,60.0
285,0.51,7,17.9,0.22,45.5,39.0
1011,0.51,34,51.5,0.15,45.5,66.0
71,0.39,0,0.0,0.05,45.5,51.0
49,0.41,21,58.3,0.2,45.5,36.0
179,0.8,0,0.0,0.04,45.5,98.0
854,0.57,0,0.0,0.15,45.5,65.0
378,0.21,0,0.0,0.15,45.5,13.0
116,0.33,3,5.7,0.08,45.5,53.0
293,0.38,20,63.5,0.15,45.5,31.5
76,0.4,1,2.0,0.15,45.5,49.0
48,0.55,6,16.7,0.19,45.5,36.0
1025,0.55,8,20.0,0.42,45.5,40.0
263,0.5,48,81.4,0.11,45.5,59.0
877,0.77,33,25.0,0.15,45.5,132.0
757,0.38,3,6.5,0.15,45.5,46.0
800,0.51,0,0.0,0.15,45.5,62.0
443,0.32,0,0.0,0.15,45.5,41.0
332,0.24,0,0.0,0.15,45.5,30.0
64,0.45,4,5.3,0.06,45.5,76.0
866,0.47,39,83.0,0.15,45.5,47.0
52,0.93,0,0.0,0.29,45.5,87.0
363,0.28,0,0.0,0.15,45.5,14.5
945,1.12,2,2.3,0.15,45.5,88.0
124,0.42,4,5.6,0.08,45.5,72.0
707,0.59,0,0.0,0.15,45.5,51.0
477,0.49,0,0.0,0.15,45.5,32.0
669,0.65,0,0.0,0.15,45.5,77.0
288,0.54,17,44.7,0.16,45.5,38.0
794,0.77,0,0.0,0.15,45.5,57.0
302,0.29,0,0.0,0.15,45.5,19.5
118,0.31,0,0.0,0.13,45.5,45.0
12,0.85,28,57.1,0.38,45.5,49.0
157,0.33,0,0.0,0.03,45.5,46.0
337,0.15,0,0.0,0.15,45.5,11.0
127,0.5,7,12.3,0.06,45.5,57.0
46,0.81,14,31.8,0.18,45.5,44.0
235,0.45,13,33.8,0.1,45.5,38.5
585,0.48,0,0.0,0.15,45.5,49.0
241,0.52,11,34.4,0.27,45.5,32.0
638,0.74,0,0.0,0.15,222.0,30.0
402,0.22,0,0.0,0.15,45.5,10.5
759,0.7,9,15.0,0.15,45.5,60.0
416,0.24,0,0.0,0.15,45.5,5.0
177,0.5,6,8.7,0.14,45.5,69.0
923,0.37,1,2.9,0.15,45.5,34.0
721,0.63,0,0.0,0.15,45.5,100.0
325,0.21,0,0.0,0.15,45.5,15.0
982,0.52,37,55.2,0.15,45.5,67.0
1052,0.65,0,0.0,0.54,45.5,54.0
350,0.18,0,0.0,0.15,45.5,6.5
422,0.67,0,0.0,0.15,45.5,56.0
17,0.69,53,129.3,0.28,45.5,41.0
1014,0.58,8,16.3,0.32,45.5,49.0
186,0.49,0,0.0,0.11,45.5,54.0
700,0.71,0,0.0,0.15,43.0,98.0
338,0.21,0,0.0,0.15,45.5,11.0
206,0.33,8,26.7,0.12,45.5,30.0
501,0.3,0,0.0,0.15,45.5,27.0
952,0.51,5,4.7,0.15,45.5,106.0
345,0.3,0,0.0,0.15,45.5,13.5
313,0.28,0,0.0,0.15,45.5,17.0
242,0.33,12,41.4,0.18,45.5,29.0
500,0.88,0,0.0,0.15,23.0,68.0
170,0.64,0,0.0,0.09,45.5,93.0
187,0.49,2,2.9,0.1,45.5,68.0
984,0.69,1,1.0,0.15,45.5,102.0
133,0.74,1,2.9,0.19,45.5,35.0
301,0.26,0,0.0,0.15,45.5,21.0
792,0.59,2,2.6,0.15,45.5,76.0
587,0.56,0,0.0,0.15,47.0,67.0
318,0.27,0,0.0,0.15,45.5,20.5
78,0.41,0,0.0,0.05,45.5,89.0
844,0.47,15,33.3,0.15,45.5,45.0
640,0.44,0,0.0,0.15,68.0,65.0
346,0.17,0,0.0,0.15,45.5,10.5
396,0.26,0,0.0,0.15,45.5,9.0
198,0.52,2,3.8,0.31,45.5,52.5
389,0.23,0,0.0,0.15,45.5,13.0
385,0.25,0,0.0,0.15,45.5,12.5
941,0.49,14,21.5,0.15,45.5,65.0
485,0.47,0,0.0,0.15,45.5,28.0
1001,0.98,18,23.7,0.34,45.5,76.0
983,0.72,1,1.0,0.15,45.5,99.0
740,0.58,0,0.0,0.15,45.5,62.0
229,0.32,12,50.0,0.12,45.5,24.0
793,0.46,0,0.0,0.15,45.5,69.0
21,0.45,10,23.8,0.11,45.5,42.0
702,0.57,0,0.0,0.15,45.5,56.0
796,0.49,0,0.0,0.15,45.5,62.0
649,0.26,0,0.0,0.15,45.5,33.0
250,0.61,17,27.2,0.13,45.5,62.5
243,0.35,16,50.0,0.13,45.5,32.0
619,0.43,0,0.0,0.15,30.0,58.0
35,0.62,9,26.5,0.12,45.5,34.0
81,0.43,3,5.8,0.05,45.5,52.0
159,0.37,2,3.9,0.14,45.5,51.0
732,0.47,0,0.0,0.15,45.5,70.0
333,0.21,0,0.0,0.15,45.5,19.0
911,0.63,14,14.1,0.15,45.5,99.0
957,1.05,2,2.0,0.15,45.5,99.0
728,0.36,0,0.0,0.15,45.5,83.0
109,0.88,0,0.0,0.26,45.5,82.0
492,0.4,2,5.9,0.15,45.5,34.0
379,0.24,0,0.0,0.15,45.5,9.5
815,0.49,1,1.5,0.15,45.5,65.0
966,0.62,8,9.2,0.15,45.5,87.0
92,0.27,0,0.0,0.06,45.5,48.0
748,0.56,0,0.0,0.15,45.5,99.0
479,0.29,0,0.0,0.15,45.5,22.0
968,0.42,8,13.1,0.15,45.5,61.0
934,0.44,33,45.2,0.15,45.5,73.0
390,0.17,0,0.0,0.15,45.5,8.5
626,0.31,0,0.0,0.15,45.5,42.0
70,0.32,0,0.0,0.05,45.5,75.0
491,0.77,6,11.1,0.15,45.5,54.0
211,0.52,35,77.8,0.24,45.5,45.0
171,0.42,4,6.5,0.08,45.5,62.0
165,0.28,1,2.0,0.05,45.5,49.0
238,0.61,23,46.9,0.25,45.5,49.0
188,0.53,1,1.5,0.12,45.5,67.0
874,0.56,8,24.2,0.15,45.5,33.0
686,0.7,0,0.0,0.15,45.5,91.0
676,0.48,0,0.0,0.15,45.5,49.0
344,0.22,0,0.0,0.15,45.5,12.0
588,0.36,0,0.0,0.15,45.5,36.0
963,0.79,0,0.0,0.21,45.5,80.0
1007,0.8,0,0.0,0.4,45.5,52.0
703,0.38,0,0.0,0.15,45.5,72.0
904,0.94,60,69.0,0.15,45.5,87.0
155,0.68,0,0.0,0.05,45.5,92.0
824,0.56,5,6.9,0.15,45.5,72.0
620,0.82,0,0.0,0.15,110.0,32.0
818,0.65,9,12.0,0.15,45.5,75.0
125,0.33,10,29.4,0.07,45.5,34.0
993,0.93,0,0.0,0.25,45.5,98.0
456,0.76,0,0.0,0.15,45.5,50.0
66,0.38,0,0.0,0.16,45.5,61.0
665,0.62,0,0.0,0.15,45.5,114.0
233,0.82,12,30.8,0.2,45.5,39.0
224,0.64,20,41.7,0.15,45.5,48.0
268,0.56,5,10.6,0.24,45.5,47.0
161,0.38,9,11.5,0.05,45.5,78.0
521,0.92,0,0.0,0.15,30.0,67.0
944,0.74,6,7.8,0.15,45.5,77.0
733,0.36,0,0.0,0.15,45.5,69.0
672,0.62,0,0.0,0.15,45.5,55.0
178,0.39,7,10.9,0.04,45.5,64.0
1041,0.75,1,1.5,0.17,45.5,67.0
415,0.21,0,0.0,0.15,45.5,13.0
100,0.43,1,1.1,0.09,45.5,88.0
680,0.63,0,0.0,0.15,49.0,91.0
678,0.72,0,0.0,0.15,45.5,77.0
334,0.16,0,0.0,0.15,45.5,11.5
761,0.54,0,0.0,0.15,117.0,53.0
220,0.45,26,60.5,0.16,45.5,43.0
391,0.18,0,0.0,0.15,45.5,8.0
309,0.2,0,0.0,0.15,45.5,15.5
841,0.55,31,51.7,0.15,45.5,60.0
965,0.64,2,2.5,0.15,45.5,80.0
1010,0.64,20,26.0,0.76,45.5,77.0
245,0.34,24,64.9,0.16,45.5,37.0
518,0.38,0,0.0,0.15,45.5,27.0
580,0.34,0,0.0,0.15,45.5,29.0
795,0.47,0,0.0,0.15,45.5,65.0
104,0.3,2,5.1,0.09,45.5,39.0
596,0.51,0,0.0,0.15,13.0,55.0
51,0.34,0,0.0,0.04,45.5,68.0
354,0.24,0,0.0,0.15,45.5,12.5
460,0.79,0,0.0,0.15,45.5,59.0
22,0.34,12,44.4,0.12,45.5,27.0
374,0.25,0,0.0,0.15,45.5,14.5
538,0.31,0,0.0,0.15,45.5,36.0
218,0.4,16,55.2,0.15,45.5,29.0
743,0.42,0,0.0,0.15,45.5,71.0
848,0.46,0,0.0,0.15,45.5,74.0
741,0.47,0,0.0,0.15,45.5,81.0
205,0.62,9,15.7,0.11,45.5,57.5
798,0.54,3,5.3,0.15,45.5,57.0
497,0.57,0,0.0,0.15,45.5,47.0
516,0.27,0,0.0,0.15,45.5,42.0
375,0.17,0,0.0,0.15,45.5,13.0
185,0.38,0,0.0,0.09,45.5,53.0
404,0.21,0,0.0,0.15,45.5,18.0
994,0.96,0,0.0,0.15,45.5,135.0
401,0.2,0,0.0,0.15,45.5,6.0
747,0.35,0,0.0,0.15,45.5,68.0
713,0.31,3,6.5,0.15,45.5,46.0
441,0.75,0,0.0,0.15,87.0,32.0
132,0.72,1,2.4,0.08,45.5,42.0
173,0.44,0,0.0,0.09,45.5,46.0
428,0.64,0,0.0,0.15,45.5,47.0
615,0.42,0,0.0,0.15,59.0,35.0
1047,0.75,5,13.2,0.62,45.5,38.0
822,0.56,8,13.3,0.15,45.5,60.0
681,0.57,0,0.0,0.15,45.5,83.0
96,0.5,0,0.0,0.05,45.5,63.0
642,0.71,0,0.0,0.15,155.0,34.0
499,0.5,0,0.0,0.15,45.5,73.0
74,0.61,0,0.0,0.03,45.5,95.0
89,0.48,0,0.0,0.15,45.5,62.0
658,0.46,0,0.0,0.15,129.0,16.0
618,0.5,0,0.0,0.15,45.5,63.0
0,0.78,21,32.8,0.26,45.5,64.0
558,0.35,0,0.0,0.15,45.5,30.0
392,0.31,0,0.0,0.15,45.5,14.5
476,0.41,0,0.0,0.15,45.5,33.0
867,0.47,25,43.1,0.15,45.5,58.0
519,0.68,0,0.0,0.15,45.5,52.0
107,0.74,0,0.0,0.14,45.5,69.0
783,0.39,4,8.9,0.15,45.5,45.0
689,0.8,0,0.0,0.15,45.5,97.0
223,0.4,5,15.6,0.11,45.5,32.0
327,0.24,0,0.0,0.15,45.5,10.0
102,0.66,0,0.0,0.13,45.5,79.0
857,0.46,0,0.0,0.15,45.5,54.0
475,0.62,0,0.0,0.15,45.5,32.0
213,0.68,11,18.0,0.23,45.5,61.0
135,0.62,1,2.5,0.22,45.5,40.0
246,0.33,19,51.4,0.07,45.5,37.0
1049,0.68,6,11.1,0.5,45.5,54.0
920,0.44,13,35.1,0.15,45.5,37.0
860,0.31,0,0.0,0.15,45.5,47.0
1046,0.37,6,33.3,0.36,45.5,18.0
365,0.27,0,0.0,0.15,45.5,10.0
883,0.33,6,20.0,0.15,45.5,30.0
26,0.61,18,41.9,0.36,45.5,43.0
939,0.29,12,30.8,0.15,45.5,39.0
417,0.16,0,0.0,0.15,45.5,13.0
613,0.3,0,0.0,0.15,45.5,40.0
887,0.43,10,23.8,0.15,45.5,42.0
3,0.64,30,50.8,0.26,45.5,59.0
134,0.49,5,20.0,0.2,45.5,25.0
355,0.23,0,0.0,0.15,45.5,11.5
956,0.59,4,5.6,0.15,45.5,72.0
833,0.69,7,9.6,0.15,45.5,73.0
1038,0.56,8,11.9,0.26,45.5,67.0
608,0.43,0,0.0,0.15,45.5,52.0
859,0.37,0,0.0,0.15,45.5,51.0
225,0.43,21,79.2,0.1,45.5,26.5
894,0.67,26,52.0,0.15,45.5,50.0
369,0.21,0,0.0,0.15,45.5,19.0
738,0.49,0,0.0,0.15,45.5,70.0
339,0.18,0,0.0,0.15,45.5,14.0
419,0.7,0,0.0,0.15,8.0,91.0
603,0.51,0,0.0,0.15,45.5,45.0
903,0.71,22,25.0,0.15,45.5,88.0
265,0.47,23,44.2,0.1,45.5,52.0
454,0.76,0,0.0,0.15,128.0,58.0
63,0.38,0,0.0,0.04,45.5,66.0
823,0.68,10,16.1,0.15,45.5,62.0
360,0.23,0,0.0,0.15,45.5,11.5
237,0.37,10,34.5,0.13,45.5,29.0
112,0.33,0,0.0,0.09,45.5,51.0
1036,0.38,19,35.8,0.23,45.5,53.0
532,0.48,0,0.0,0.15,45.5,43.0
577,0.33,0,0.0,0.15,45.5,38.0
126,0.41,2,4.3,0.07,45.5,47.0
259,0.35,5,17.2,0.11,45.5,29.0
805,0.75,0,0.0,0.15,45.5,87.0
781,0.37,7,17.5,0.15,45.5,40.0
137,0.62,0,0.0,0.11,45.5,71.0
725,0.45,0,0.0,0.15,45.5,90.0
7,0.68,41,89.1,0.15,45.5,46.0
502,0.76,0,0.0,0.15,129.0,64.0
631,0.47,0,0.0,0.15,45.5,63.0
905,0.44,8,16.7,0.15,45.5,48.0
760,0.5,2,7.7,0.15,111.0,26.0
926,0.11,1,3.3,0.15,45.5,30.0
407,0.16,0,0.0,0.15,45.5,12.0
750,0.66,0,0.0,0.15,57.0,75.0
