,main_stem_length_in_cm,stem_diam_bottom_in_cm,diam_top_in_cm,tip_of_stem_broken,infested
353,14.0,0.18,0.18,0,0
153,86.0,0.63,0.15,1,0
566,57.0,0.67,0.18,1,0
542,25.0,0.33,0.18,1,0
343,16.5,0.21,0.18,0,0
967,63.0,1.08,0.58,1,1
612,43.0,0.4,0.18,1,0
1065,96.0,0.71,0.18,0,1
899,77.0,0.82,0.18,0,1
56,103.0,0.53,0.02,0,0
400,8.0,0.26,0.18,0,0
572,34.0,0.3,0.18,1,0
473,27.0,0.26,0.18,1,1
468,34.0,0.54,0.18,1,0
708,65.0,0.28,0.18,0,0
827,56.0,0.44,0.18,0,1
504,61.0,0.56,0.18,1,0
1043,50.0,0.46,0.34,1,0
706,70.0,0.6,0.18,0,0
648,39.0,0.3,0.18,1,0
1019,100.0,0.77,0.18,0,1
300,20.0,0.21,0.18,0,0
731,59.0,0.34,0.18,0,0
722,83.0,0.61,0.18,0,0
570,35.0,0.34,0.18,1,0
163,72.0,0.57,0.12,1,1
636,40.0,0.41,0.18,1,0
336,20.5,0.29,0.18,0,0
59,85.0,0.73,0.05,0,0
895,58.0,0.38,0.18,0,1
1021,38.0,0.52,0.18,0,1
490,18.0,0.36,0.18,1,0
855,56.0,0.46,0.18,0,0
449,46.0,0.55,0.18,1,0
762,59.0,0.45,0.18,0,1
437,40.0,0.28,0.18,1,0
670,56.0,0.38,0.18,0,0
563,49.0,0.43,0.18,1,0
842,64.0,0.7,0.18,0,1
970,86.0,0.94,0.16,1,1
219,51.0,0.58,0.29,1,1
837,60.0,0.58,0.18,0,1
586,41.0,0.44,0.18,1,0
282,34.0,0.69,0.13,0,1
348,6.0,0.2,0.18,0,0
744,93.0,0.58,0.18,0,0
4,45.0,0.65,0.3,1,1
893,43.0,0.67,0.18,0,1
463,28.0,0.38,0.18,1,0
871,26.0,0.44,0.18,0,1
1032,46.0,0.7,0.41,1,1
959,89.0,0.65,0.18,1,0
517,22.0,0.29,0.18,1,0
653,43.0,0.24,0.18,1,0
573,38.0,0.41,0.18,1,0
647,52.0,0.42,0.18,1,0
953,86.0,0.71,0.18,1,1
975,111.0,0.84,0.18,0,0
534,47.0,0.53,0.18,1,0
987,46.0,0.52,0.34,1,1
276,33.0,0.61,0.26,1,1
284,43.0,0.47,0.14,0,1
470,45.0,0.41,0.18,1,0
426,78.0,0.44,0.18,1,0
281,28.0,0.41,0.09,0,1
120,43.0,0.31,0.07,1,1
593,36.0,0.31,0.18,1,0
1057,41.0,0.6,0.53,1,1
13,31.0,0.48,0.28,1,1
712,40.0,0.43,0.18,0,1
455,52.0,0.61,0.18,1,0
584,60.0,0.46,0.18,1,0
147,37.0,0.38,0.14,1,1
160,76.0,0.63,0.1,1,0
1054,37.0,0.55,0.43,1,1
933,48.0,0.63,0.18,0,1
986,32.0,0.45,0.27,1,1
807,76.0,0.47,0.18,0,0
195,53.0,0.5,0.18,1,1
191,64.0,0.38,0.13,1,1
628,31.0,0.41,0.18,1,0
536,41.0,0.48,0.18,1,0
960,104.0,0.63,0.18,1,0
164,73.0,0.53,0.12,1,1
106,38.0,0.33,0.06,0,1
16,36.0,0.66,0.22,1,1
575,69.0,0.5,0.18,1,0
1013,46.0,0.78,0.53,1,1
1040,62.0,0.69,0.33,1,1
540,47.0,0.53,0.18,1,0
329,10.0,0.24,0.18,0,0
480,13.0,0.23,0.18,1,0
498,32.0,0.52,0.18,1,0
947,111.0,0.75,0.18,0,1
405,13.0,0.24,0.18,0,0
971,107.0,0.7,0.18,0,1
93,73.0,0.54,0.11,1,0
433,59.0,0.84,0.18,1,0
83,85.0,0.56,0.08,0,0
918,87.0,0.7,0.18,0,1
978,64.0,0.7,0.32,1,1
710,47.0,0.43,0.18,0,0
657,24.0,0.38,0.18,1,0
414,2.0,0.19,0.18,0,0
662,16.0,0.53,0.18,1,0
1055,49.0,0.61,0.47,1,1
973,72.0,0.8,0.35,1,1
789,60.0,0.57,0.18,0,1
997,79.0,0.86,0.3,1,1
813,53.0,0.8,0.18,0,1
322,11.0,0.14,0.18,0,0
556,54.0,0.4,0.18,1,0
357,7.0,0.14,0.18,0,0
69,85.0,0.81,0.21,1,0
514,40.0,0.52,0.18,1,0
509,21.0,0.36,0.18,1,0
340,23.5,0.27,0.18,0,0
221,44.0,0.57,0.18,1,1
1016,74.0,0.55,0.23,1,1
146,34.0,0.31,0.16,1,1
289,37.0,0.4,0.09,0,1
753,58.0,0.33,0.18,0,1
29,27.5,0.64,0.35,1,1
114,51.0,0.35,0.12,1,1
508,51.0,0.44,0.18,1,0
958,77.0,0.7,0.18,1,0
1051,43.0,0.57,0.44,1,1
176,72.0,0.44,0.07,0,1
168,75.0,0.56,0.05,0,0
347,12.0,0.23,0.18,0,0
376,18.0,0.19,0.18,0,0
828,52.0,0.59,0.18,0,1
949,125.0,0.89,0.18,0,1
928,53.0,0.43,0.18,0,1
838,68.0,0.51,0.18,0,1
189,96.0,0.88,0.18,1,0
136,43.0,0.46,0.18,1,1
446,39.0,0.63,0.18,1,0
913,116.0,0.53,0.18,0,1
254,54.0,0.53,0.08,0,1
961,113.0,0.67,0.18,0,1
290,29.0,0.38,0.11,0,1
459,33.0,0.37,0.18,1,0
768,44.0,0.53,0.18,0,1
921,43.0,0.33,0.18,0,1
767,52.0,0.44,0.18,0,0
232,42.0,0.51,0.21,1,1
645,42.0,0.33,0.18,1,0
33,43.0,0.45,0.14,1,1
88,66.0,0.42,0.05,0,0
44,25.0,0.3,0.2,0,1
341,9.0,0.24,0.18,0,0
61,65.0,0.42,0.07,0,0
1037,54.0,0.49,0.28,1,1
199,58.0,0.43,0.06,0,1
429,44.0,0.62,0.18,1,0
810,65.0,0.5,0.18,0,1
394,12.5,0.21,0.18,0,0
1048,36.0,0.47,0.46,1,1
831,64.0,0.63,0.18,0,1
730,57.0,0.34,0.18,0,0
297,25.0,0.24,0.14,0,1
73,83.0,0.51,0.11,1,0
393,10.0,0.24,0.18,0,0
547,39.0,0.55,0.18,1,0
579,30.0,0.35,0.18,1,0
541,38.0,0.58,0.18,1,0
929,43.0,0.39,0.18,0,1
907,61.0,0.41,0.18,0,1
914,59.0,0.42,0.18,0,1
663,42.0,0.36,0.18,1,0
217,47.5,0.51,0.1,1,1
539,25.0,0.59,0.18,1,0
897,85.0,0.89,0.18,0,1
902,51.0,0.68,0.18,0,1
623,35.0,0.34,0.18,1,0
668,110.0,0.51,0.18,0,0
898,32.0,0.56,0.18,0,1
421,45.0,0.53,0.18,1,0
694,67.0,0.48,0.18,0,1
138,75.0,0.8,0.3,1,1
212,42.0,0.54,0.18,1,1
616,31.0,0.53,0.18,1,0
916,34.0,0.43,0.18,0,1
912,38.0,0.33,0.18,0,1
942,20.0,0.4,0.18,0,1
727,86.0,0.55,0.18,0,0
709,42.0,0.59,0.18,0,1
701,64.0,0.62,0.18,0,0
726,99.0,0.65,0.18,0,0
1003,40.0,0.43,0.23,1,1
716,75.0,0.57,0.18,0,0
234,48.0,0.55,0.07,0,1
771,58.0,0.6,0.18,0,1
67,57.0,0.55,0.15,1,0
24,37.0,0.65,0.16,0,1
381,4.0,0.26,0.18,0,0
216,30.5,0.48,0.11,1,1
812,60.0,0.39,0.18,0,0
735,95.0,0.55,0.18,0,0
129,62.0,0.58,0.09,1,1
349,11.0,0.18,0.18,0,0
111,67.0,0.62,0.12,1,1
166,100.0,0.72,0.05,0,0
1000,115.0,0.78,0.18,0,0
207,34.0,0.34,0.17,1,1
438,34.0,0.34,0.18,1,0
552,54.0,0.67,0.18,1,0
274,39.0,0.38,0.13,1,1
924,22.0,0.32,0.18,0,0
591,56.0,0.68,0.18,1,0
980,92.0,1.09,0.28,1,0
1002,8.0,0.41,0.38,1,1
839,54.0,0.51,0.18,0,1
525,41.0,0.6,0.18,1,0
287,29.5,0.36,0.18,0,1
469,36.0,0.51,0.18,1,0
326,13.0,0.15,0.18,0,0
121,39.0,0.31,0.08,0,1
1062,51.0,0.53,0.21,1,1
507,28.0,0.35,0.18,1,0
228,17.5,0.23,0.1,1,1
673,88.0,0.33,0.18,0,0
595,59.0,0.68,0.18,1,0
445,31.0,0.41,0.18,1,0
117,57.0,0.62,0.16,1,1
464,57.0,0.56,0.18,1,0
25,41.0,0.48,0.13,0,1
110,90.0,0.67,0.05,0,0
149,31.0,0.31,0.16,1,1
152,110.0,0.68,0.06,0,0
528,62.0,0.67,0.18,1,0
696,69.0,0.49,0.18,0,0
843,54.0,0.51,0.18,0,1
621,31.0,0.44,0.18,1,0
461,48.0,0.66,0.18,1,0
598,51.0,0.65,0.18,1,0
139,48.0,0.65,0.05,0,1
749,64.0,0.51,0.18,0,1
260,55.0,0.62,0.2,1,1
864,51.0,0.83,0.18,0,1
925,29.0,0.34,0.18,0,1
829,58.0,0.42,0.18,0,1
323,15.5,0.21,0.18,0,0
979,71.0,1.08,0.48,1,0
248,29.0,0.27,0.08,0,1
450,49.0,0.43,0.18,1,0
410,5.0,0.14,0.18,0,0
840,58.0,0.71,0.18,0,1
607,63.0,0.48,0.18,1,0
19,35.0,0.53,0.19,1,1
328,12.0,0.23,0.18,0,0
296,27.5,0.31,0.06,0,1
880,43.0,0.64,0.18,0,1
269,47.0,0.37,0.05,0,1
875,28.0,0.41,0.18,0,1
226,41.0,0.49,0.2,1,1
94,83.0,0.34,0.05,0,0
515,54.0,0.36,0.18,1,0
915,34.0,0.41,0.18,0,1
637,56.0,0.44,0.18,1,0
280,39.0,0.44,0.09,0,1
286,29.0,0.39,0.09,0,1
589,42.0,0.49,0.18,1,0
1018,45.0,0.76,0.45,1,1
444,27.0,0.33,0.18,1,0
184,78.0,0.52,0.17,1,1
371,25.0,0.39,0.18,0,0
950,99.0,0.73,0.18,0,1
1053,55.0,0.62,0.57,1,1
275,34.0,0.44,0.27,1,1
806,77.0,0.65,0.18,0,0
1023,44.0,0.5,0.34,1,1
182,77.0,0.83,0.09,1,1
32,35.0,0.61,0.16,1,1
80,61.0,0.48,0.1,0,0
307,16.5,0.2,0.18,0,0
770,58.0,0.52,0.18,0,1
11,45.0,0.51,0.25,1,1
872,34.0,0.36,0.18,0,1
43,33.0,0.55,0.12,1,1
86,67.0,0.5,0.06,0,1
778,68.0,0.49,0.18,0,1
36,27.0,0.36,0.15,0,1
1056,48.0,0.76,0.65,1,0
58,101.0,0.4,0.04,0,0
41,30.0,0.4,0.17,1,1
782,57.0,0.69,0.18,0,1
411,10.0,0.22,0.18,0,0
562,78.0,0.9,0.18,1,0
209,41.5,0.67,0.17,0,1
148,36.0,0.22,0.03,0,0
739,73.0,0.47,0.18,0,0
594,14.0,0.25,0.18,1,0
123,40.0,0.29,0.07,0,1
734,92.0,0.7,0.18,0,0
931,84.0,0.51,0.18,0,1
574,46.0,0.39,0.18,1,0
98,60.0,0.41,0.17,1,0
377,8.5,0.23,0.18,0,0
130,54.0,0.38,0.06,1,0
699,43.0,0.38,0.18,0,1
23,31.0,0.43,0.16,0,1
946,93.0,0.85,0.18,1,1
555,70.0,0.77,0.18,1,0
370,20.0,0.3,0.18,0,0
906,106.0,0.79,0.18,0,1
512,41.0,0.34,0.18,1,0
383,11.0,0.24,0.18,0,0
201,62.0,0.76,0.27,1,1
917,38.0,0.42,0.18,0,1
368,15.5,0.32,0.18,0,0
554,66.0,0.65,0.18,1,0
610,44.0,0.53,0.18,1,0
387,11.0,0.2,0.18,0,0
861,111.0,0.65,0.18,0,1
816,81.0,0.6,0.18,0,1
930,48.0,0.5,0.18,0,1
292,39.0,0.59,0.21,1,1
690,81.0,0.63,0.18,0,0
881,53.0,0.63,0.18,0,1
256,54.0,0.64,0.17,1,1
606,66.0,0.65,0.18,1,0
197,57.0,0.32,0.08,1,0
95,69.0,0.63,0.17,1,0
1044,124.0,0.87,0.18,1,1
1029,40.0,0.5,0.39,1,1
169,100.0,0.56,0.07,0,1
581,32.0,0.21,0.18,1,0
305,25.0,0.35,0.18,0,0
560,31.0,0.39,0.18,1,0
853,66.0,0.66,0.18,0,1
373,23.5,0.31,0.18,0,0
909,31.0,0.53,0.18,0,1
719,96.0,0.56,0.18,0,0
791,68.0,0.61,0.18,0,0
954,102.0,0.79,0.18,1,1
227,32.0,0.44,0.23,1,1
660,35.0,0.28,0.18,1,0
143,39.0,0.29,0.06,0,0
846,72.0,0.68,0.18,0,0
180,58.0,0.37,0.08,1,0
868,32.0,0.58,0.18,0,1
972,107.0,0.78,0.18,0,1
131,38.0,0.26,0.06,1,1
1035,73.0,0.64,0.38,1,1
47,21.0,0.35,0.16,1,1
964,122.0,0.92,0.24,1,1
774,44.0,0.63,0.18,0,1
324,18.5,0.22,0.18,0,0
203,56.0,0.6,0.11,1,1
84,79.0,0.9,0.26,1,0
938,30.0,0.73,0.18,0,1
633,51.0,0.62,0.18,1,0
908,72.0,0.5,0.18,0,1
565,62.0,0.87,0.18,1,0
611,55.0,0.51,0.18,1,0
398,14.0,0.17,0.18,0,0
896,59.0,0.48,0.18,0,1
91,75.0,0.48,0.03,0,0
82,47.0,0.25,0.06,0,0
430,66.0,0.56,0.18,1,0
779,55.0,0.54,0.18,0,1
119,65.0,0.82,0.23,1,0
870,42.0,0.46,0.18,0,1
291,33.5,0.34,0.1,0,1
57,65.0,0.53,0.09,1,0
937,96.0,0.35,0.18,0,1
999,120.0,0.98,0.18,0,1
321,11.0,0.19,0.18,0,0
257,22.0,0.19,0.08,0,1
888,50.0,0.47,0.18,0,1
1061,46.0,0.45,0.18,0,1
442,53.0,0.5,0.18,1,0
42,22.0,0.51,0.23,1,1
617,24.0,0.6,0.18,1,0
388,11.0,0.23,0.18,0,0
335,12.0,0.19,0.18,0,0
273,45.0,0.52,0.15,1,1
756,44.0,0.48,0.18,0,1
488,29.0,0.39,0.18,1,0
550,26.0,0.31,0.18,1,0
901,76.0,0.62,0.18,0,1
53,81.0,0.41,0.06,0,0
932,50.0,0.6,0.18,0,1
1024,45.0,0.56,0.45,1,0
128,67.0,0.34,0.03,0,0
802,79.5,0.49,0.18,0,0
28,34.0,0.61,0.2,1,1
882,63.0,0.8,0.18,0,1
510,44.0,0.51,0.18,1,0
675,44.0,0.6,0.18,0,0
151,92.0,0.57,0.04,1,0
244,27.0,0.33,0.13,1,1
714,71.0,0.41,0.18,0,0
543,79.0,0.73,0.18,1,0
544,81.0,0.75,0.18,1,0
639,61.0,0.43,0.18,1,0
697,69.0,0.68,0.18,0,1
423,54.0,0.73,0.18,1,0
910,50.0,0.44,0.18,0,1
659,42.0,0.25,0.18,1,0
797,68.0,0.46,0.18,0,0
1045,98.0,0.91,0.25,1,1
99,83.0,0.46,0.12,1,0
850,87.0,0.52,0.18,0,0
448,74.0,0.38,0.18,1,0
755,60.0,0.4,0.18,0,1
976,99.0,0.69,0.18,0,1
115,42.0,0.4,0.15,1,1
777,60.0,0.63,0.18,0,1
72,66.0,0.41,0.1,1,1
845,56.0,0.63,0.18,0,1
537,64.0,0.75,0.18,1,0
849,84.0,0.59,0.18,0,0
174,65.0,0.49,0.06,0,1
87,64.0,0.56,0.07,0,0
551,49.0,0.34,0.18,1,0
705,48.0,0.61,0.18,0,1
314,13.5,0.17,0.18,0,0
600,41.0,0.53,0.18,1,0
599,26.0,0.58,0.18,1,0
277,44.0,0.42,0.16,1,1
1033,54.0,0.6,0.35,1,1
763,58.0,0.56,0.18,0,1
835,66.0,0.7,0.18,0,1
559,29.0,0.32,0.18,1,0
684,73.0,0.43,0.18,0,0
