,diam_top_in_cm,main_stem_length_in_cm,infested
1020,0.3,77.0,1
63,0.04,66.0,0
285,0.22,39.0,1
261,0.18,51.5,1
1003,0.23,40.0,1
249,0.13,26.0,1
150,0.06,107.0,0
21,0.11,42.0,1
1023,0.34,44.0,1
205,0.11,57.5,1
49,0.2,36.0,1
197,0.08,57.0,0
1025,0.42,40.0,1
232,0.21,42.0,1
277,0.16,44.0,1
192,0.14,71.0,0
106,0.06,38.0,1
299,0.3,22.5,1
22,0.12,27.0,1
264,0.11,58.0,1
226,0.2,41.0,1
187,0.1,68.0,1
215,0.19,27.0,1
979,0.48,71.0,0
66,0.16,61.0,0
159,0.14,51.0,1
12,0.38,49.0,1
101,0.07,94.0,0
287,0.18,29.5,1
216,0.11,30.5,1
963,0.21,80.0,0
290,0.11,29.0,1
17,0.28,41.0,1
1004,0.15,53.0,1
134,0.2,25.0,1
155,0.05,92.0,0
239,0.05,32.0,1
1058,0.34,40.0,1
103,0.2,50.0,1
224,0.15,48.0,1
1010,0.76,77.0,1
288,0.16,38.0,1
132,0.08,42.0,1
116,0.08,53.0,1
250,0.13,62.5,1
973,0.35,72.0,1
120,0.07,43.0,1
153,0.15,86.0,0
230,0.26,31.5,1
81,0.05,52.0,1
1,0.22,57.5,1
140,0.03,56.0,1
8,0.43,43.0,1
270,0.2,42.0,1
1056,0.65,48.0,0
126,0.07,47.0,1
136,0.18,43.0,1
276,0.26,33.0,1
259,0.11,29.0,1
133,0.19,35.0,1
33,0.14,43.0,1
1040,0.33,62.0,1
34,0.11,36.0,1
176,0.07,72.0,1
97,0.04,63.0,0
85,0.23,96.0,0
220,0.16,43.0,1
260,0.2,55.0,1
1038,0.26,67.0,1
1053,0.57,55.0,1
191,0.13,64.0,1
172,0.09,58.0,0
108,0.06,45.0,1
46,0.18,44.0,1
295,0.2,31.0,1
273,0.15,45.0,1
73,0.11,83.0,0
137,0.11,71.0,0
1043,0.34,50.0,0
171,0.08,62.0,1
1062,0.21,51.0,1
29,0.35,27.5,1
265,0.1,52.0,1
253,0.16,47.0,1
967,0.58,63.0,1
1057,0.53,41.0,1
27,0.26,40.0,1
236,0.09,50.0,1
180,0.08,58.0,0
156,0.04,64.0,1
246,0.07,37.0,1
138,0.3,75.0,1
269,0.05,47.0,1
182,0.09,77.0,1
251,0.1,47.5,1
281,0.09,28.0,1
35,0.12,34.0,1
235,0.1,38.5,1
221,0.18,44.0,1
238,0.25,49.0,1
237,0.13,29.0,1
44,0.2,25.0,1
200,0.26,60.0,1
129,0.09,62.0,1
93,0.11,73.0,0
111,0.12,67.0,1
166,0.05,100.0,0
255,0.11,48.0,1
229,0.12,24.0,1
18,0.24,47.0,1
262,0.18,51.0,1
79,0.05,90.0,0
207,0.17,34.0,1
209,0.17,41.5,1
71,0.05,51.0,0
231,0.1,32.5,1
986,0.27,32.0,1
1047,0.62,38.0,1
201,0.27,62.0,1
160,0.1,76.0,0
256,0.17,54.0,1
161,0.05,78.0,1
83,0.08,85.0,0
190,0.11,65.0,0
1059,0.41,58.0,1
118,0.13,45.0,0
1052,0.54,54.0,0
242,0.18,29.0,1
1037,0.28,54.0,1
110,0.05,90.0,0
149,0.16,31.0,1
157,0.03,46.0,0
152,0.06,110.0,0
16,0.22,36.0,1
1050,0.49,22.0,1
75,0.06,70.0,0
109,0.26,82.0,0
964,0.24,122.0,1
206,0.12,30.0,1
985,0.36,54.0,1
139,0.05,48.0,1
1055,0.47,49.0,1
4,0.3,45.0,1
96,0.05,63.0,0
14,0.28,42.0,1
61,0.07,65.0,0
67,0.15,57.0,0
294,0.12,30.0,1
195,0.18,53.0,1
154,0.02,67.0,1
1018,0.45,45.0,1
284,0.14,43.0,1
247,0.18,22.0,1
1035,0.38,73.0,1
40,0.16,41.0,1
112,0.09,51.0,0
13,0.28,31.0,1
107,0.14,69.0,0
227,0.23,32.0,1
282,0.13,34.0,1
3,0.26,59.0,1
254,0.08,54.0,1
125,0.07,34.0,1
24,0.16,37.0,1
30,0.31,40.0,1
77,0.02,55.0,0
233,0.2,39.0,1
189,0.18,96.0,0
185,0.09,53.0,0
1032,0.41,46.0,1
1054,0.43,37.0,1
1041,0.17,67.0,1
19,0.19,35.0,1
993,0.25,98.0,0
997,0.3,79.0,1
183,0.12,91.0,1
1014,0.32,49.0,1
80,0.1,61.0,0
51,0.04,68.0,0
2,0.26,33.0,1
11,0.25,45.0,1
104,0.09,39.0,1
275,0.27,34.0,1
86,0.06,67.0,1
36,0.15,27.0,1
1044,0.18,124.0,1
58,0.04,101.0,0
41,0.17,30.0,1
50,0.05,85.0,0
210,0.2,31.0,1
980,0.28,92.0,0
1002,0.38,8.0,1
974,0.12,80.0,1
123,0.07,40.0,1
223,0.11,32.0,1
62,0.02,72.0,0
279,0.13,38.0,1
130,0.06,54.0,0
188,0.12,67.0,1
23,0.16,31.0,1
43,0.12,33.0,1
0,0.26,64.0,1
202,0.14,62.5,1
987,0.34,46.0,1
98,0.17,60.0,0
179,0.04,98.0,0
257,0.08,22.0,1
94,0.05,83.0,0
1030,0.38,38.0,1
95,0.17,69.0,0
1006,0.12,44.0,1
170,0.09,93.0,0
69,0.21,85.0,0
48,0.19,36.0,0
208,0.18,40.5,1
280,0.09,39.0,1
228,0.1,17.5,1
148,0.03,36.0,0
143,0.06,39.0,0
181,0.12,51.0,1
131,0.06,38.0,1
1015,0.09,49.0,1
1060,0.39,50.0,1
263,0.11,59.0,1
204,0.14,39.5,1
84,0.26,79.0,0
121,0.08,39.0,1
996,0.14,90.0,1
1039,0.14,81.0,0
91,0.03,75.0,0
82,0.06,47.0,0
268,0.24,47.0,1
119,0.23,65.0,0
292,0.21,39.0,1
57,0.09,65.0,0
258,0.12,50.0,1
1013,0.53,46.0,1
42,0.23,22.0,1
105,0.09,88.0,0
274,0.13,39.0,1
1009,0.26,67.0,1
38,0.12,31.0,1
53,0.06,81.0,0
1001,0.34,76.0,1
128,0.03,67.0,0
291,0.1,33.5,1
28,0.2,34.0,1
184,0.17,78.0,1
163,0.12,72.0,1
151,0.04,92.0,0
245,0.16,37.0,1
203,0.11,56.0,1
31,0.22,34.0,1
32,0.16,35.0,1
127,0.06,57.0,1
186,0.11,54.0,0
1033,0.35,54.0,1
289,0.09,37.0,1
1036,0.23,53.0,1
147,0.14,37.0,1
286,0.09,29.0,1
1031,0.42,32.0,1
178,0.04,64.0,1
99,0.12,83.0,0
1026,0.25,41.0,0
198,0.31,52.5,1
244,0.13,27.0,1
115,0.15,42.0,1
266,0.21,41.0,1
72,0.1,66.0,1
1024,0.45,45.0,0
25,0.13,41.0,1
165,0.05,49.0,1
1028,0.39,35.0,1
1046,0.36,18.0,1
175,0.2,82.0,0
1048,0.46,36.0,1
39,0.21,38.0,1
194,0.21,51.0,1
991,0.16,115.0,1
88,0.05,66.0,0
70,0.05,75.0,0
87,0.07,64.0,0
293,0.15,31.5,1
243,0.13,32.0,1
278,0.19,40.0,1
212,0.18,42.0,1
9,0.11,50.0,1
1051,0.44,43.0,1
196,0.04,53.0,1
252,0.2,40.0,1
1007,0.4,52.0,0
193,0.09,51.0,0
117,0.16,57.0,1
47,0.16,21.0,1
173,0.09,46.0,0
